GO:1990397	BOR
GO:0008616	BOS
GO:0046088	BOT
GO:0046109	BOU
GO:0046132	BOV
GO:0042455	BOW
GO:0043174	BOX
GO:0046093	BOY
GO:0046097	BOZ
GO:0046105	BPA
GO:0046126	BPB
GO:0046120	BPC
GO:1905266	BPD
GO:0046134	BPE
GO:0071590	BPF
GO:0071592	BPG
GO:0071589	BPH
GO:0009163	BPI
GO:0006196	BPJ
GO:0006204	BPK
GO:0006201	BPL
GO:0006202	BPM
GO:0046038	BPN
GO:0009169	BPO
GO:0046055	BPP
GO:0046059	BPQ
GO:0009172	BPR
GO:0009128	BPS
GO:0006248	BPT
GO:0046050	BPU
GO:0009175	BPV
GO:0006249	BPW
GO:0046074	BPX
GO:0046079	BPY
GO:0009178	BPZ
GO:0009131	BQA
GO:0032363	BQB
GO:0009158	BQC
GO:0009159	BQD
GO:0009125	BQE
GO:0046032	BQF
GO:0046709	BQG
GO:0046712	BQH
GO:1901639	BQI
GO:0009181	BQJ
GO:0046057	BQK
GO:0046067	BQL
GO:0009184	BQM
GO:0009137	BQN
GO:0006245	BQO
GO:0006256	BQP
GO:0046706	BQQ
GO:0009195	BQR
GO:0006246	BQS
GO:0006251	BQT
GO:0006257	BQU
GO:0009198	BQV
GO:0009140	BQW
GO:0009191	BQX
GO:0009192	BQY
GO:0009134	BQZ
GO:0006193	BRA
GO:0009207	BRB
GO:0006203	BRC
GO:0035863	BRD
GO:0046061	BRE
GO:0009217	BRF
GO:0009146	BRG
GO:0006254	BRH
GO:0046047	BRI
GO:0046052	BRJ
GO:0009210	BRK
GO:0006253	BRL
GO:0046076	BRM
GO:0046081	BRN
GO:0009213	BRO
GO:0009149	BRP
GO:0009203	BRQ
GO:0009204	BRR
GO:0009143	BRS
GO:0006198	BRT
GO:0015938	BRU
GO:0015971	BRV
GO:0015974	BRW
GO:0036113	BRX
GO:0036114	BRY
GO:0036116	BRZ
GO:0044581	BSA
GO:0044582	BSB
GO:0044580	BSC
GO:1902190	BSD
GO:1902193	BSE
GO:1902196	BSF
GO:1902199	BSG
GO:1902859	BSH
GO:0036115	BSI
GO:0046069	BSJ
GO:0019681	BSK
GO:0046356	BSL
GO:1901289	BSM
GO:1901788	BSN
GO:1901886	BSO
GO:1901911	BSP
GO:2001294	BSQ
GO:0009154	BSR
GO:0009155	BSS
GO:0006195	BST
GO:0009222	BSU
GO:0045008	BSV
GO:0009223	BSW
GO:0046342	BSX
GO:0006244	BSY
GO:0009214	BSZ
GO:0009261	BTA
GO:0009264	BTB
GO:0015958	BTC
GO:0015964	BTD
GO:0015967	BTE
GO:1901907	BTF
GO:1901909	BTG
GO:0015961	BTH
GO:0019677	BTI
GO:0019364	BTJ
GO:0072389	BTK
GO:0009166	BTL
GO:0034037	BTM
GO:0034031	BTN
GO:0034034	BTO
GO:0033869	BTP
GO:1901292	BTQ
GO:0034404	BTR
GO:0032264	BTS
GO:0032265	BTT
GO:0044209	BTU
GO:0032261	BTV
GO:0006168	BTW
GO:0006178	BTX
GO:0043103	BTY
GO:0043096	BTZ
GO:0043101	BUA
GO:0010778	BUB
GO:0010779	BUC
GO:0000711	BUD
GO:0000734	BUE
GO:0042276	BUF
GO:0070987	BUG
GO:0019985	BUH
GO:0043150	BUI
GO:0043151	BUJ
GO:1904161	BUK
GO:0000731	BUL
GO:0007307	BUM
GO:0006277	BUN
GO:0032199	BUO
GO:0001171	BUP
GO:0007004	BUQ
GO:0006278	BUR
GO:1904860	BUS
GO:0090592	BUT
GO:0071897	BUU
GO:0044208	BUV
GO:0006167	BUW
GO:0006189	BUX
GO:0006188	BUY
GO:0097294	BUZ
GO:0097293	BVA
GO:0009168	BVB
GO:0006170	BVC
GO:0006181	BVD
GO:0009171	BVE
GO:0009127	BVF
GO:0044205	BVG
GO:0006222	BVH
GO:0006230	BVI
GO:0009224	BVJ
GO:0009174	BVK
GO:0006226	BVL
GO:0006231	BVM
GO:0046064	BVN
GO:0009177	BVO
GO:0009130	BVP
GO:0009398	BVQ
GO:0009156	BVR
GO:0009157	BVS
GO:0009124	BVT
GO:0006172	BVU
GO:0046708	BVV
GO:0009180	BVW
GO:0006173	BVX
GO:0006185	BVY
GO:0009183	BVZ
GO:0009136	BWA
GO:0006225	BWB
GO:0006232	BWC
GO:0046705	BWD
GO:0009194	BWE
GO:0006227	BWF
GO:0006233	BWG
GO:0006240	BWH
GO:0009197	BWI
GO:0009139	BWJ
GO:0009188	BWK
GO:0009189	BWL
GO:0009133	BWM
GO:0006192	BWN
GO:0006756	BWO
GO:0042776	BWP
GO:0042777	BWQ
GO:0015986	BWR
GO:0006754	BWS
GO:0046042	BWT
GO:0009206	BWU
GO:0006174	BWV
GO:0006176	BWW
GO:0006175	BWX
GO:0006186	BWY
GO:0006194	BWZ
GO:0006187	BXA
GO:0046071	BXB
GO:0009216	BXC
GO:0009145	BXD
GO:0006228	BXE
GO:0006234	BXF
GO:0044210	BXG
GO:0006241	BXH
GO:0009209	BXI
GO:0006229	BXJ
GO:0006235	BXK
GO:0006242	BXL
GO:0009212	BXM
GO:0009148	BXN
GO:0009201	BXO
GO:0009202	BXP
GO:0009142	BXQ
GO:0006171	BXR
GO:0006182	BXS
GO:0015937	BXT
GO:0019361	BXU
GO:0050428	BXV
GO:0052653	BXW
GO:0061732	BXX
GO:0006086	BXY
GO:0019427	BXZ
GO:0019431	BYA
GO:0030634	BYB
GO:1990181	BYC
GO:0006085	BYD
GO:0019680	BYE
GO:0035338	BYF
GO:0044579	BYG
GO:0044578	BYH
GO:1902191	BYI
GO:1902194	BYJ
GO:1902197	BYK
GO:1902200	BYL
GO:1902860	BYM
GO:0046949	BYN
GO:1901290	BYO
GO:1901789	BYP
GO:1901887	BYQ
GO:2001295	BYR
GO:0071616	BYS
GO:0009152	BYT
GO:0009153	BYU
